X,Y,OBJECTID,AREA_,PERIMETER,KSLIDE_,KSLIDE_ID,SW_ID,DECADE,LOCATION,NEIGHBORHO,TDATE,DTDATE,YEAR_,MONTH_,DAY_,FILENUMBER,CONSULTANT,SWJOB,CONFIDENTI,SLOPEHEIGH,SLIDETYPE,DEBRISFLOW,SIZE_,VEGETATION,TOPOGRAPHY,GEO1,GEO2,GEO3,GEO4,NATURAL_,GRNDWTR,SURFACEWAT,WEATHER,FILL_CUT,ROADFILL_C,SURFACEDRA,PIPELEAK,TRENCHFILL,HUMANINFLU,DAMAGE,REPAIRTYPE,REPAIREFFE,FIELDCHECK,YSNSLIDE,DATECONFID,COMMENTS,INPOTSLIDE,INSTEEPSLP,SE_ANNO_CAD_DATA,EVENT_DATE,PUBLIC_,PRIVATE,PARK,UNOPENED_R,COMMENTS_2,COMMENTS_3,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,PARCELS_IMPACTED,RECID
-13611675.4913,6025787.5029,1,0,0,0,1,1,1990,10025 46th Ave S,BH,19961201,1996-12-30 00:00:00,1996,12,30,96-97 Storm,,,0,75,HBP,Y,L,T,SS,,,,,Y,,,U,,,,,,Natural,,,,True,1,True,"Slide on a very steep slope, carrying trees downhill.  Instability in gulley to the south of this residence.  Large amounts of fill in lot to the south of the gulley-impending instability as of 2/9/99.",1,1,,,,,,,Refer to slide shape overlapping this point.,,,,SDE,2019/09/10 22:45:51+00,10020 MLK Jr Way S & 10025 46th Ave S,1
-13616545.8278,6040556.0871,2,0,0,0,2,3,1910,1032 S Jackson St,BH,19101201,1910-12-01 00:00:00,1910,12,1,SED J-1-F 1910-1912,,,0,20,SC,Y,S,S,MS,HF,HC,QC,,Y,Y,Y,N,Y,F,,,,Human,2,,,True,1,True,Slide covered Jackson Street,0,0,,,,,,,This was the first slide after paving in 1910.,,,,SDE,2019/09/10 22:45:51+00,,2
-13616499.3895,6040549.6095,3,0,0,0,4,5,1910,1032 S Jackson St,BH,19120101,1912-01-01 00:00:00,1912,1,1,SED J-1-F 1910-1912,,,0,20,SC,Y,S,S,MS,HF,HC,QC,,Y,Y,Y,N,Y,F,,,,Human,2,,,True,1,False,Slide covered Jackson Street,0,1,,,,,,,This was the second slide after paving in 1910.,,,,SDE,2019/09/10 22:45:51+00,,4
-13616476.9453,6040549.9876,4,0,0,0,5,6,1960,1032 S Jackson St,BH,19680201,1968-05-01 00:00:00,1968,5,1,SED J-1-F 1968,,,0,20,SC,Y,S,S,MS,HF,HC,QC,,Y,Y,Y,N,Y,F,,,,Human,2,,,True,1,True,Slide from S Main St into back of Conors Sales building (1032 S Jackson)-A roughly 50 ft.-high tieback and wood lagging retaining wall has been built as of 2/16/99 for construction of a new building.,0,1,,,,,,,Slide was about 100' wide and 200' long.,,,,SDE,2019/09/10 22:45:52+00,,5
-13616466.173,6038797.5158,5,0,0,0,6,7,1990,1111 S Atlantic St,BH,19901231,1990-12-31 00:00:00,1990,12,31,S&W,,w-6027-01,0,70,SC,N,S,B,SS,HC,QS,QC,,Y,Y,Y,N,N,,,,,Human,2,,,True,1,True,Slide to the west of the residence (southwest corner),1,1,,,,,,,,,,,SDE,2019/09/10 22:45:52+00,,6
-13616266.5382,6037208.4587,6,0,0,0,7,8,1930,1200 S Lander St,BH,19340101,1934-01-01 00:00:00,1934,1,1,SED L-15-A,,,0,100,BO,Y,S,T,SS,HC,QT,QC,,Y,Y,Y,N,Y,F,,Y,,Human,0,,,True,1,False,Exact date not shown - Works Progress Administration described,1,1,,,,,,,Limited information found in Geoengineers report found in file.,See file SED L-15-A and/or attachment for additional information.,,,SDE,2019/09/10 22:49:43+00,1200,7
-13616281.6645,6037182.7909,7,0,0,0,8,9,1930,1200 S Lander St,BH,19380101,1938-01-01 00:00:00,1938,1,1,SED L-15-A,,,0,100,BO,Y,S,T,SS,HC,QT,QC,,Y,Y,Y,N,Y,F,,Y,,Human,0,,,True,1,False,Exact date not known - Works Progress Administration described,1,1,,,,,,,Limited information on this event found in Geoengineers report within file.,See file SED L-15-A and/or attachment for additional information.,,,SDE,2019/09/10 22:45:52+00,1200,8
-13616267.352,6037195.0589,8,0,0,0,9,10,1960,1200 S Lander St,BH,19640102,1964-01-02 00:00:00,1964,1,2,SED L-15-A,DM,,0,100,BO,Y,S,T,SS,HF,HC,QT,QC,Y,Y,Y,N,Y,F,,Y,,Human,3,W,Y,True,1,True,Slide destroyed house at base of hill. Slide mass originated in fill material at end of S Lander St.,1,1,,,,,,,Probable cause of the slide was saturation of the extremely steep slope of the fill in S Lander St. 40' wide by 200' long.,See file SED L-11-A and/or attachment for additional information.,,,SDE,2019/09/10 22:49:43+00,1200,9
-13616276.165,6037192.9724,9,0,0,0,10,11,1980,1200 S Lander St,BH,19870101,1987-01-01 00:00:00,1987,1,1,"SED L-15-A, DCLU A43",GE,,0,100,BO,Y,S,T,SS,HF,HC,QT,QC,Y,Y,Y,N,Y,F,,Y,,Human,2,,,True,1,False,Landslide was triggered by either overloading of headscarp area by uncontrolled dumping of concrete rubble and soil fill AND/OR saturation of failure surface by direct infiltration of precipitation.,1,1,,,,,,,1987 slide geometry is almost the exact same as slide which occurred in 1964.,See file SED L-15-A and/or attachment for additional information.,,,SDE,2019/09/10 22:45:52+00,1200,10
-13615671.3109,6038540.1177,10,0,0,0,11,12,1980,1717 - 1723 Sturgus Ave S,BH,19831209,1983-12-09 00:00:00,1983,12,9,SED S-9,S&W,w-4089-01,0,35,DS,N,L,B,MS,HF,HC,,,Y,Y,Y,N,N,,,,,Human,2,,,True,1,True,Slump involving entire triplex at this location - affected 1723 also. Several yards of material deposited onto Sturgus Ave S.,1,1,,,,,,,See file SED S-9 subfolder 1983 and/or attachment for additional information. Photos are available on file.,,,,SDE,2019/09/10 22:50:00+00,"1717, 1723",11
-13615681.2583,6038558.9125,11,0,0,0,12,13,1980,1717 Sturgus Ave S,BH,19840223,1984-02-23 00:00:00,1984,2,23,SED S-9,,,0,35,DS,N,L,B,MS,HF,HC,,,Y,Y,Y,N,N,,,,,Human,1,,,True,1,True,"Slide onto roadway (State Street).  As of 2/16/99, area needs surface drainage work in the parking area of 1707 and 1723.",1,1,,,,,,,See file SED S-9 subfolder 1984 and/or attachment for additional information. Photos are available on file.,,,,SDE,2019/09/10 22:45:52+00,1717,12
-13615374.3146,6033308.388,12,0,0,0,13,14,1980,1730 S Dawson St,BH,19860101,1986-01-01 00:00:00,1986,1,1,"DCLU J9, J124",,,0,15,SC,N,S,B,SS,HF,,,,Y,,,U,,,,,,Natural,,,,True,0,False,Excavation related slide with 1738 S. Dawson-A rockery is present as of 2/16/99.,0,0,,,,,,,,,,,SDE,2019/09/10 22:45:52+00,"1730 S Dawson St, 1738 S Dawson St",13
-13615261.8436,6038279.3486,13,0,0,0,14,15,1980,1904 19th Ave S,BH,19821221,1982-12-21 00:00:00,1982,12,17,SED H-7-A,,,0,20,SC,N,S,B,MS,HC,QC,,,Y,Y,Y,N,N,,,,,Human,0,G,,True,1,True,Small slide onto sidewalk,0,0,,,,,,,Slide displaced 40 yds of material. Dirt covering sidewalk.,See file SED H-7-A and/or attachment for additional information.,,,SDE,2019/09/10 22:45:52+00,1904,14
-13615674.703,6038199.0013,14,0,0,0,15,18,1990,1923 17th Ave S,BH,19970319,1997-03-19 00:00:00,1997,3,19,96-97 Storm,,,0,35,SC,Y,S,B,MS,HC,,,,Y,Y,Y,U,Y,,,,,Human,,,,True,1,True,Small house structure approximately 400 square feet moved off pier and post foundation into street. Red Tagged - do not occupy.  Okay to remove contents. Resident cut into the toe of the slope.  DCLU-Yellow tag for the south bedroom of 1917 17th av.,0,0,,,,,,,,,,,SDE,2019/09/10 22:45:52+00,,15
-13616126.8366,6037359.7916,15,0,0,0,16,20,1990,2501 13th ave s,BH,19970101,1997-01-01 00:00:00,1997,1,1,96-97 Storm,,,0,20,,,S,T,,,,,,,,,,,,,,,Unknown,,,,True,1,True,Slide on east edge of roadway - over retaining wall,0,0,,,,,,,,,,,SDE,2019/09/10 22:45:53+00,,16
-13616131.1779,6037307.9311,16,0,0,0,17,21,1920,2525 14th Ave S.,BH,19270104,1927-01-04 00:00:00,1927,1,4,SED 13-A,,,0,35,DS,N,S,B,MS,HF,HC,QS,QC,Y,Y,Y,N,Y,C,,,,Human,2,SD,N,True,1,True,Slide reported by resident at 2535 13th Ave S.,1,1,,,,,,,"Slide occurred on easterly side of 13th Ave S midway between S Bayview St and S Lander St. During construction of apartments at parcel 2525, a spring was filled without making attempt to care for drainage.",See file SED 13-A and/or attachment for additional information.,,,SDE,2019/09/10 22:45:53+00,2525,17
-13616349.2097,6036809.9794,17,0,0,0,18,22,1990,2917 12th av s,BH,19970319,1997-03-19 00:00:00,1997,1,6,96-97 Storm,,,0,20,DS,N,L,B,MS,HC,,,,Y,,,U,,,,,,Natural,1,W,Y,True,1,True,"Movement first reported 1/6/97 as a 2'-4' drop in the rear yard.  Additional ground movement has occurred since February 9, 1997, width of tension cracks have increased and height of set down is greater.  Concrete masonry unit retaining wall has failed but was not original.  New conc. Ret. Wall as of 2/16/99.",1,1,,,,,,,,,,,SDE,2019/09/10 22:45:53+00,,18
-13616364.9567,6036766.7955,18,0,0,0,19,24,1930,2921 12th Ave S,BH,19341221,1934-12-21 00:00:00,1934,12,21,SED S-4,,,0,100,DS,N,L,T,SS,HC,QC,,,Y,Y,Y,N,N,,,,,Human,3,,,True,1,False,Slide west of 2921 12th Ave S - very large - not sure of date but happened this winter-Concrete retaining wall is new-same wall as 2917 12th Ave S (slide #22).,1,1,,,,,,,"Slide caused by excavating for house on 11th Ave S. Bulkhead constructed at toe of the slide was pushing against the house moving it 4"". See polygon 25 for slide geometry.",See file SED S-4 and/or attachment for additional information. See polygon 25.,,,SDE,2019/09/10 22:45:53+00,"2921, 2917",19
-13616364.0381,6036751.1846,19,0,0,0,20,25,1940,2921 12th Ave S,BH,19471218,1947-12-18 00:00:00,1947,12,18,SED S-4,,,0,100,DS,N,L,T,SS,HC,QC,,,Y,Y,Y,N,N,,,,,Human,3,,,True,1,True,Slide west of 2921 12th Ave S - demolished home at 2921 11th Ave S (no longer exists).,1,1,,,,,,,See file SED S-4 and/or attachment for additional information.,,,,SDE,2019/09/10 22:49:43+00,,20
-13616358.0467,6036781.6486,20,0,0,0,21,26,1940,2921 12th Ave S,BH,19490301,1949-03-01 00:00:00,1949,3,1,SED S-4,,,0,100,DS,N,L,T,SS,HC,QC,,,Y,Y,Y,N,N,,,,,Human,2,,,True,1,True,"Slide west of residence. As of 2/16/99, Surface drainage from Stevens dead-end is contributing to problem.  New wall built but already has slight cracking along the wall-soil interface at the toe of the concrete wall.",1,1,,,,,,,See file SED S-4 and/or attachment for additional information.,,,,SDE,2019/09/10 22:45:53+00,,21
-13616225.5567,6036006.2242,21,0,0,0,22,27,1930,3508 Hahn Pl S,BH,19340112,1934-01-12 00:00:00,1934,1,12,SED H-1,,,0,70,SC,N,L,B,SS,HC,QS,QC,,Y,Y,Y,N,N,,,,,Human,1,,,True,1,True,Not much information on this landslide - approximate location - debris on Columbia Way,1,1,,,,,,,See file SED H-1 and/or attachment for additional information.,,,,SDE,2019/09/10 22:45:53+00,3508,22
-13616215.0714,6036012.1742,22,0,0,0,23,28,1950,3508 Hahn Pl S,BH,19510310,1951-03-10 00:00:00,1951,3,10,SED H-1,PTL,,0,70,SC,N,L,B,SS,HC,QS,QC,,Y,Y,Y,U,N,,,Y,,Human,2,,,True,1,True,Slide claimed to be result of abandoned sewer pipe - City denies this in the file,1,1,,,,,,,See file SED H-1 and/or attachment for additional information.,,,,SDE,2019/09/10 22:45:53+00,"3508, 3507",23
-13616220.5363,6036007.862,23,0,0,0,24,29,1960,3508 Hahn Pl S,BH,19690304,1969-03-04 00:00:00,1969,3,4,SED H-1,,,0,70,SC,N,L,B,SS,HC,QS,QC,,Y,Y,Y,U,N,,,,,Human,2,,,True,1,True,Skin slide in same location as the 1951 slide,1,1,,,,,,,See file SED H-1 and/or attachment for additional information.,,,,SDE,2019/09/10 22:49:36+00,3508,24
-13616227.1749,6035295.4065,24,0,0,0,25,30,1990,3926 12th ave s,BH,19970101,1997-01-01 00:00:00,1997,1,1,96-97 Storm,,,0,10,SC,N,S,B,SS,HF,,,,,,,,,,,,,Unknown,,,,True,1,True,Slide on private property-Rockery present as of 2/16/99.,0,0,,,,,,,,,,,SDE,2019/09/10 22:45:53+00,,25
-13614448.836,6035194.6177,25,0,0,0,26,31,1980,4027 25th Ave S,BH,19860201,1986-02-01 00:00:00,1986,2,1,DCLU J217,,,0,20,SC,,,,,,,,,Y,,,U,,,,,,Natural,,,,True,1,True,Sloughing and erosion of the bank in back yard.  A +- 3-foot-high rockery at base of bank.  Slope is +-30 percent and +-20 feet high.,0,1,,,,,,,,,,,SDE,2019/09/10 22:45:54+00,4027 25th Ave S,26
-13616398.9488,6034905.3778,26,0,0,0,27,32,1980,4233 11 av s,BH,19860201,1986-02-01 00:00:00,1986,2,1,DCLU J251,,,0,-9999,,,,,,,,,,Y,,,U,,,,,,Natural,,,,True,1,True,"Earth movement occurred which did not threaten house; additional earth movement may have threatened house.  Short report from Altinay & Assoc.",1,0,,,,,,,,,,,SDE,2019/09/10 22:45:54+00,"4247, 4245, 4233 11th Ave S",27
-13616419.6404,6034867.409,27,0,0,0,28,33,1980,4247 11 av s,BH,19860201,1986-02-01 00:00:00,1986,2,1,DCLU J11,,,0,-9999,,,,,,,,,,Y,,,U,,,,,,Natural,,,,True,1,True,(Related to adjacent property at 4245). +-3-foot setdown did not impact house.  Geotechnical engineer consulted - nothing in file.  Altinay & Assoc. provided report.,0,0,,,,,,,,,,,SDE,2019/09/10 22:45:54+00,"4247, 4245, 4233 11th Ave S",28
-13616453.5299,6034789.8307,28,0,0,0,29,34,1950,4317 11th Ave S.,BH,19590128,1959-01-28 00:00:00,1959,1,28,SED D-3,,,0,75,DS,N,S,B,MS,HC,,,,Y,Y,Y,N,Y,,,,,Human,2,,,True,0,True,Residence installing driveway removed lateral support from slope and caused skin slide.,1,0,,,,,,,Slide crossed roadway closing Decatur Pl S. Also involved property at 4323 (now 4321) 11th Ave S. Damaged properties below Decatur Pl S.,See file SED D-3 and/or attachment for additional information.,,,SDE,2019/09/10 22:49:43+00,4317,29
-13616616.5376,6034439.2995,29,0,0,0,30,35,1930,4525 10th Ave S,BH,19340118,1934-01-18 00:00:00,1934,1,18,SED 9-A-3 1934,,,0,30,SC,Y,S,T,SS,HF,HC,QS,QC,Y,Y,Y,N,N,,,,,Human,2,,,True,1,True,Slide near this residence - down gully-Yard waste on slope as of 2/16/99.,0,0,,,,,,,"The slide came from the vicinity of 10th Ave S and extended down to 9th Ave S, which no longer exists.  Refer to sewer card 5629-2 for former plat map.  Several buildings were damaged.",,,,SDE,2019/09/10 22:49:36+00,,30
-13616620.2291,6034429.0146,30,0,0,0,31,36,1960,4525 10th Ave S,BH,19600129,1960-01-29 00:00:00,1960,1,29,SED 9-A-3 1960,,,0,30,SC,Y,S,T,SS,HF,HC,QS,QC,Y,Y,Y,N,Y,,,,,Human,2,,,True,1,True,Slide originated in fill at this residence and damaged residence at 4451 Colfax Place at base of gully-Yard waste on the slope as of 2/16/99.,0,0,,,,,,,Refer to overlapping polygon.,,,,SDE,2019/09/10 22:45:54+00,,31
-13612521.6394,6027938.8406,31,0,0,0,32,39,1990,8826 39th Ave S,BH,19970319,1997-03-19 00:00:00,1997,3,19,96-97 Storm,,,0,30,SC,Y,S,T,MS,HF,,,,Y,,Y,U,Y,,,,,Human,,,,True,1,True,Roof drain lines have been laid over slope to bottom. Some visqueen on site. Appears to be a slide in fill.,0,0,,,,,,,,,,,SDE,2019/09/10 22:45:54+00,"8818, 8826 39th Ave S",32
-13612508.4898,6027901.5162,32,0,0,0,33,41,1990,8838 39th Ave S,BH,19970319,1997-03-19 00:00:00,1997,3,19,96-97 Storm,,,0,30,SC,N,S,T,MS,HF,,,,Y,,Y,U,Y,,,,,Human,,,,True,1,True,Slide in fill.,0,1,,,,,,,,,,,SDE,2019/09/10 22:45:54+00,8838 39th Ave S,33
-13611726.3679,6026924.6046,33,0,0,0,34,43,1990,9363 Beacon Ave S,BH,19970319,1997-03-19 00:00:00,1997,3,19,96-97 Storm,,,0,90,DS,N,L,T,MS,HF,HC,QS,QC,Y,Y,,U,Y,,,,,Human,2,,,True,1,True,"The four residences at these addresses (9351, 9357, 9369) have no current or foreseeable future impact from additional slope failure. Properties located adjacent to toe of slope on east side of Martin Luther King Jr. Way could be impacted.",1,0,,,,,,,,,,,SDE,2019/09/10 22:45:54+00,,34
-13616437.9185,6047747.5192,34,0,0,0,35,44,1960,1018 E Roanoke St,CH,19670810,1967-08-10 00:00:00,1967,8,10,SED R-8-A,S&W,w-1304,0,30,SC,N,S,B,SS,HF,QT,,,Y,Y,N,N,Y,,,,,Human,1,G,Y,True,1,True,Slide in fill on a steep northeast-facing slope - onto 11th Avenue sidewalk-multi-tiered rockery as of 1/20/99,0,1,,,,,,,,,,,SDE,2019/09/10 22:45:54+00,,35
