DeptCode,BCL Name,ProgramName,2019 Actuals,2020 Adopted,2021 Adopted
ARTS,Arts and Cultural Programs,Activations Equity and Youth Development,2155844,2096435,1942668
ARTS,Arts and Cultural Programs,Communication Outreach and Events,435577,541814,613465
ARTS,Arts and Cultural Programs,Cultural Facilities Operations,908840,978236,987722
ARTS,Arts and Cultural Programs,Funding Programs & Partnership,3651217,3566894,3064423
ARTS,Cultural Space,Cultural Space,941080,1428827,808850
ARTS,Leadership and Administration,Citywide Indirect Costs,794925,951890,981439
ARTS,Leadership and Administration,Departmental Indirect Costs,2049831,2075284,1881053
ARTS,Leadership and Administration,Pooled Benefits and PTO,1172645,1204125,1223742
ARTS,Public Art,Artwork Conservation,168087,196960,199498
ARTS,Public Art,Public Art,2154013,2605586,2712515
AUD,Office of the City Auditor,Office of the City Auditor,3195504,2579778,2520212
CBO,City Budget Office,City Budget Office,7203501,7283554,7145311
CEN,Building and Campus Improvements,Armory Rehabilitation,789441,1100000,533000
CEN,Building and Campus Improvements,Campuswide Improvements and Re,1966940,1505000,1780000
CEN,Building and Campus Improvements,Facility Infrastructure Renova,151351,3445000,2141268
CEN,Building and Campus Improvements,Parking Repairs & Improvements,1079353,2400000,0
CEN,Building and Campus Improvements,Public Gathering Space Improve,1260734,305000,529000
CEN,Building and Campus Improvements,Utility Infrstr MP and Repairs,497790,1166105,1143000
CEN,Campus,Access,1293948,1335314,1383950
CEN,Campus,Campus Grounds,12967585,15618940,15487514
CEN,Campus,Commercial Events,2239125,2085328,2143533
CEN,Campus,Community Programs,2958429,2606770,2352929
CEN,Campus,Cultural Facilities,386254,301153,307541
CEN,Campus,Festivals,851821,1396872,1437040
CEN,KeyArena,KeyArena,0,0,0
CEN,Leadership and Administration,Citywide Indirect Costs,2417242,3294891,3362614
CEN,Leadership and Administration,Departmental Indirect Costs,5161463,5222077,4361667
CEN,Leadership and Administration,Divisional Indirect,557542,1858396,1807481
CEN,Leadership and Administration,Employee Benefits,1638496,4891528,4964908
CEN,Leadership and Administration,Indirect Cost Recovery Offset,654562,-5880822,-5880822
CEN,McCaw Hall,Debt Service,121000,121000,121500
CEN,McCaw Hall,McCaw Hall,5907485,5832016,3568411
CEN,McCaw Hall Capital Reserve,McCaw Hall Asset Preservation,508018,614000,0
CEN,Monorail Rehabilitation,Monorail Rehabilitation,442192,1255000,1255000
CSCC,Community Safety and Communications Center,Communications Center,0,0,9783677.75
CSCC,Community Safety and Communications Center,Parking Enforcement,0,0,8103417
CIV,Civil Service Commissions,Civil Service Commissions,469013,526097,522731
CPC,Office of the Community Police Commission,Office of the Community Police,1545691,1847285,1712564
DEEL,Early Learning,Early Learning,39754056,59568095,58358374
DEEL,K-12 Programs,K-12 Programs,22858933,33366049,33835328
DEEL,Leadership and Administration,Citywide Indirect Costs,2300332,1757036,1992121
DEEL,Leadership and Administration,Departmental Indirect Costs,11325,196361,0
DEEL,Leadership and Administration,Divisional Indirect Costs,3542414,4988197,5065002
DEEL,Post-Secondary Programs,Post-Secondary Programs,1658037,5861240,5212088
DON,Community Building,Community Engagement Coordinators,2046467,2478682,2589516.473
DON,Community Building,Community Liaisons,335657,868095,742399
DON,Community Building,Community Safety,0,0,1028486
DON,Community Building,Historic Preservation,940171,937278,800579
DON,Community Building,Housing Affordability and Livability Agenda (HALA),0,0,1
DON,Community Building,Major Institutions and Schools,212517,243036,166779
DON,Community Building,Participatory Budgeting (Your Voice Your Choice),182969,136388,122673
DON,Community Building,People's Academy for Community Engagement (PACE),133288,150942,25301
DON,Community Building,P-Patch Community Gardening,817762,1599956,791169
DON,Community Grants,Duwamish River Opportunity Fun,0,0,249799
DON,Community Grants,Find It Fix It,0,0,30000
DON,Community Grants,Healthy Food Fund,0,0,1472939
DON,Community Grants,Neighborhood Matching,4205748,0,3224097
DON,Leadership and Administration,Citywide Indirect Costs,1545767,1429700,2628366
DON,Leadership and Administration,Departmental Indirect Costs,2191274,2875016,2547589
DON,Leadership and Administration,Divisional Indirect Costs,0,0,0
ETH,Election Vouchers,Election Vouchers,3871421,742213,8417751
ETH,Ethics and Elections,Ethics and Elections,966253,1094680,1049986
FAS,ADA Improvements,ADA Improvements,419637,750000,1000000
FAS,Asset Preservation - Schedule 1 Facilities,Asset Preserv_Sch 1 Facilities,8389611,11552000,10652000
FAS,Asset Preservation - Schedule 2 Facilities,Asset Preserv_Sch 2 Facilities,1446545,4848000,3393000
FAS,Bond Interest and Redemption,Bond Interest and Redemption,97397847,2353798,1965571
FAS,Capital Dev and Const Mgmt,Capital Dev and Const Mgmt,0,0,0
FAS,Central Waterfront Improvement Program Financial Support,Central Waterfront Improvement,0,3435569,1250000
FAS,City Finance,Business Systems,0,0,16601747
FAS,City Finance,City Financial Management,2774276,2510444,1766245
FAS,City Finance,Citywide Accounting Services,14953014,13294252,5726601
FAS,City Finance,Revenue Administration,6043440,8187111,9879698
FAS,City Finance,Risk Management Services,1723107,1942679,1844521
FAS,City Finance,Treasury Services,4933603,5902485,5585057
FAS,City Purchasing and Contracting Services,Contracting Services,6398929,6958773,7004594
